,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicatessen,Total Expenditures,ICA1,ICA2,ICA3,ICA4,ICA5,ICA6,0.575178417,0.776908552,0.74067988,0.388435912,0.633881832,0.496848605,<- originals
239,47493,2567,3779,5243,828,2253,62163,16871.08046,15738.12288,10297.6628,4340.993243,3048.293496,1553.67504,,,,,,,
165,15615,12653,19858,4425,7108,2379,62038,3674.205303,10084.46286,-4056.895277,1772.263294,10764.65999,1929.84596,,,,,,,
171,200,25862,19816,651,8773,6250,61552,-3383.192699,-19427.26549,3312.023394,7325.702206,6282.4919,6416.253858,,,,,,,
24,22647,9776,13792,2915,4482,5778,59390,6300.980959,15582.07966,3024.732887,6450.35861,6893.767226,5622.396104,,,,,,,
202,25203,11487,9490,5065,284,6854,58383,6313.65771,10015.45748,8504.340582,5015.879893,16241.91982,6652.106415,,,,,,,
265,5909,23527,13699,10155,830,3636,57756,-2545.264015,-19282.54755,7159.984979,-4530.482526,28596.26236,3207.523551,,,,,,,
382,34454,7435,8469,2540,1711,2893,57502,11278.22884,10781.64053,7203.268448,6396.100238,10321.55227,2415.884025,,,,,,,
384,10683,21858,15400,3635,282,5120,56978,-439.1800199,-10268.07394,5020.395648,3991.990887,33498.52971,4829.992451,,,,,,,
253,29526,7961,16966,432,363,1391,56639,8761.623984,21265.83764,-3799.523618,6705.111915,34253.64213,638.9106164,,,,,,,
349,5981,14641,20521,2005,12218,445,55811,1057.294497,-1519.487675,-3254.751757,2761.138891,-6869.572887,261.4765606,,,,,,,
142,37036,7152,8253,2995,20,3,55459,12261.50169,7974.357562,6097.68613,4274.340099,19531.54809,-786.0066417,,,,,,,
347,27380,7184,12311,2809,4621,1022,55327,9027.046679,12104.74256,2401.857053,4193.332663,6621.561307,523.8135033,,,,,,,
52,40721,3916,5876,532,2587,1278,54910,14717.66328,12158.00284,8793.297005,8449.055831,2008.479505,771.9989189,,,,,,,
93,11314,3090,2062,35009,71,2698,54244,347.3599442,17452.05941,11792.42425,-32220.40805,-2120.245583,1972.549186,,,,,,,
200,3067,13240,23127,3941,9959,731,54065,-771.6448354,8899.214829,-7463.31609,130.4233716,6779.916311,432.023241,,,,,,,
22,31276,1917,4469,9408,2381,4334,53785,10265.43916,21532.8746,10380.54585,-523.4600646,-4708.718864,4051.437797,,,,,,,
14,24653,9465,12091,294,5058,2168,53729,7903.195734,7139.002551,4266.570517,7573.58828,4800.855313,1879.809746,,,,,,,
13,21217,6208,14982,3095,6707,602,52811,6951.058525,16534.13475,-924.7287744,2965.782099,2743.072039,187.6077676,,,,,,,
370,39679,3944,4955,1364,523,2235,52700,13776.41653,14140.39031,9888.917472,7950.311844,8316.502081,1763.392655,,,,,,,
335,27082,6817,10790,1365,4111,2139,52304,8911.809368,12834.34155,4585.783564,6566.655364,5232.014907,1812.3776,,,,,,,
343,1689,6964,26316,1456,15469,37,51931,400.0306051,24040.51899,-12911.03921,2376.137388,-12312.50172,-67.76520104,,,,,,,
306,6468,12867,21570,1840,7558,1543,51846,270.0221655,10548.35096,-5748.700518,3285.438923,13816.4667,1274.646812,,,,,,,
351,1210,10044,22294,1741,12638,3137,51064,-729.4046812,17324.00585,-6175.42438,4089.781355,-9146.485721,3265.666843,,,,,,,
29,43088,2100,2609,1200,1107,823,50927,15715.00066,12404.00664,11768.47193,7772.135837,1870.673009,305.85935,,,,,,,
141,30379,13252,5189,321,51,1450,50642,9322.804662,-10349.09106,13240.65476,7927.011801,15499.34073,1025.50723,,,,,,,
407,7362,12844,18683,2854,7883,553,50179,910.0811773,4349.240495,-2403.88787,1860.050311,7618.980219,277.2431293,,,,,,,
111,12579,11114,17569,805,6457,1519,50043,2943.977663,9541.603517,-1635.322046,5209.897532,10511.28008,1272.655655,,,,,,,
301,5283,13316,20399,1809,8752,172,49731,226.0522666,4368.573217,-4220.941933,2551.759246,7864.613349,-91.23740034,,,,,,,
40,24025,4332,4757,9510,1145,5864,49633,6738.132171,19523.80005,11446.12702,-408.1394042,1038.005771,5770.72771,,,,,,,
33,29729,4786,7326,6130,361,1083,49415,9366.859879,14752.82455,6825.501172,789.6898789,14143.05932,512.9164871,,,,,,,
209,5550,12729,16767,864,12420,797,49127,1368.614438,-2017.107859,1096.552973,4509.693242,-15461.07992,846.670432,,,,,,,
46,3103,14069,21955,1668,6792,1452,49039,-1331.365543,8653.37811,-5795.132287,3072.910195,18579.22385,1207.219822,,,,,,,
129,42312,926,1510,1718,410,1819,48695,15293.86421,16067.56149,12901.44871,7750.35138,1479.699595,1405.581764,,,,,,,
63,9396,11601,15775,2896,7677,1295,48640,1884.860372,4407.387681,956.6398827,2640.449065,1894.795564,1135.707206,,,,,,,
109,1406,16729,28986,673,836,3,48633,-3690.03648,15425.6109,-15113.29272,2322.484943,60191.99205,-735.5614,,,,,,,
436,39228,1431,764,4510,93,2346,48372,13763.15029,15120.67086,14050.0974,4680.843095,696.7360521,1963.951667,,,,,,,
273,36817,3045,1493,4802,210,1824,48191,12679.79878,11218.17477,13663.78025,3793.705582,2629.292326,1408.78992,,,,,,,
268,11908,8053,19847,1069,6374,698,47949,2847.578971,19843.1375,-5954.025735,4126.420723,14721.69191,358.6709953,,,,,,,
124,36050,1642,2961,4787,500,1621,47561,12485.54302,16587.88684,11276.95346,3500.97622,3816.525542,1184.645696,,,,,,,
67,19913,6759,13462,1256,5141,834,47365,6257.579594,14381.3715,1237.626431,5115.806194,7209.187186,521.5085649,,,,,,,
205,1107,11711,23596,955,9265,710,47344,-1387.679312,13978.97628,-8438.162068,3232.743622,10918.918,528.4108593,,,,,,,
37,15168,10556,12477,1920,6506,714,47341,4358.617631,1823.133551,4267.685818,4081.597228,953.4511368,508.0077832,,,,,,,
401,27167,2801,2128,13223,92,1902,47313,8225.716834,14266.16935,12478.8214,-6615.691685,2710.83969,1430.96064,,,,,,,
107,8797,10646,14886,2471,8969,1438,47207,2066.036698,4606.732642,2062.155056,3285.425844,-5740.394135,1398.132117,,,,,,,
304,161,7460,24773,617,11783,2410,47204,-1105.148311,27401.99722,-10549.17954,4551.105977,-775.8546857,2466.890337,,,,,,,
240,22096,3575,7041,11422,343,2564,47041,5941.283904,20687.14675,7055.748508,-4980.541788,11100.69432,2133.106265,,,,,,,
377,38793,3154,2648,1034,96,1242,46967,13674.55209,11434.83217,12256.18231,7791.226901,6594.2295,811.4831349,,,,,,,
36,29955,4362,5428,1729,862,4626,46962,9645.316319,17749.13069,10570.94108,8117.141375,6116.826544,4518.254506,,,,,,,
406,25066,5010,5026,9806,1092,960,46960,7555.377378,10330.71573,9847.584552,-3637.312871,6242.860132,475.6722079,,,,,,,
426,13134,9347,14316,3141,5079,1894,46911,3038.472348,11158.40495,1539.97854,2990.565249,8943.024579,1685.845135,,,,,,,
9,6006,11093,18881,1159,7425,2098,46662,368.7145062,11996.68279,-2747.129996,4531.935884,8436.798434,2013.771444,,,,,,,
276,27901,3749,6964,4479,603,2503,46199,8766.728492,18882.50326,7568.022078,3388.21168,11242.50182,2156.928861,,,,,,,
43,630,11095,23998,787,9529,72,46111,-1417.164457,14952.11704,-9292.501526,2969.197595,10921.63345,-135.8503556,,,,,,,
155,1989,10690,19460,233,11577,2153,46102,-312.5926348,10451.22614,-2673.019042,5444.484233,-8390.498715,2302.508121,,,,,,,
4,22615,5410,7198,3915,1777,5185,46100,6511.978511,18342.91666,9139.908953,5258.754195,5147.355636,5167.515096,,,,,,,
285,40254,640,3600,1042,436,18,45990,14608.04845,17137.12658,9731.135848,7077.532027,7001.537352,-521.4742079,,,,,,,
100,11594,7779,12144,3252,8035,3029,45833,3184.045029,11200.2852,4632.361162,3732.067623,-9515.503579,3117.274269,,,,,,,
127,21465,7243,10685,880,2386,2749,45408,6263.254867,14239.31546,5038.127506,6908.89217,12540.93779,2553.932399,,,,,,,
289,42786,286,471,1388,32,22,44985,15733.35645,13534.27885,13413.85529,7128.966477,2609.052038,-482.2882558,,,,,,,
38,4591,15729,16709,33,6956,433,44451,-302.7921949,-5753.460047,1363.591856,4886.264262,9888.581371,303.6189857,,,,,,,
309,918,20655,13567,1465,6846,806,44257,-2145.798186,-22459.90957,7370.654648,3477.069664,5790.877191,786.4638468,,,,,,,
393,23632,6730,3842,8620,385,819,44028,6861.072795,4359.777713,12006.79498,-2426.326645,8195.050007,392.5368786,,,,,,,
311,29635,2335,8280,3046,371,117,43784,9791.256947,20763.48241,4656.917861,3583.191489,16558.90359,-424.5346839,,,,,,,
312,2137,3737,19172,1274,17120,142,43582,1647.062937,20139.34881,-4639.457327,3294.952518,-34047.72277,384.7476475,,,,,,,
73,19899,5332,8713,8132,764,648,43488,5321.561651,15004.96973,5439.89606,-2687.207755,15551.20641,166.8326483,,,,,,,
283,25767,3613,2013,10303,314,1384,43394,7904.457541,10719.66706,13113.57198,-3708.893392,3003.152896,999.1715377,,,,,,,
18,18601,6327,10099,2205,2767,3181,43180,5185.469634,16329.36987,5650.472119,5470.880907,8909.930657,3084.578964,,,,,,,
254,10379,17972,4748,4686,1547,3265,42597,826.7153992,-20508.92653,16842.49627,2504.400503,8168.599236,3287.933501,,,,,,,
403,25606,11006,4604,127,632,288,42263,7910.836901,-7590.701567,13125.96173,7069.809824,12367.00029,-34.26324794,,,,,,,
266,572,9763,22182,2221,4882,2563,42183,-2529.168876,23855.82924,-7641.130581,2709.111965,24800.70051,2425.972675,,,,,,,
226,20782,5921,9212,1759,2568,1553,41795,6300.6321,13452.81697,6073.257176,5235.056246,9422.991507,1338.897252,,,,,,,
89,24904,3836,5330,3443,454,3178,41145,7640.615656,17376.05354,10079.6432,4829.473542,8654.335593,3031.117477,,,,,,,
42,10850,7555,14961,188,6899,46,40499,3013.164007,12068.54373,147.8519577,5044.386539,3977.799183,-91.5236326,,,,,,,
279,17360,6200,9694,1293,3620,1721,39888,5118.90107,12906.21798,5968.735083,5589.43289,5947.26075,1621.946935,,,,,,,
30,18815,3610,11107,1148,2134,2963,39777,5403.715739,25065.95489,3243.563738,6402.143226,12999.88954,2859.571807,,,,,,,
173,514,7677,19805,937,9836,716,39485,-919.7564918,18195.35907,-4956.91944,3477.62272,-49.37606596,752.8826213,,,,,,,
215,2806,10765,15538,1374,5828,2388,38699,-1039.189385,9725.44782,1350.359018,4350.733976,8899.254803,2464.987593,,,,,,,
101,1420,10810,16267,1593,6766,1838,38694,-1402.927839,9100.562491,471.2042591,3643.462466,6684.290715,1903.795665,,,,,,,
413,4983,4859,6633,17866,912,2435,37688,-1245.355562,17319.82273,8312.489226,-13787.83556,7764.924659,2203.096448,,,,,,,
353,117,6264,21203,228,8682,1111,37605,-1275.788213,25631.02691,-7288.815804,4290.462694,6911.77909,1139.988103,,,,,,,
255,31614,489,1495,3242,111,615,37566,11043.38499,16097.60358,12678.53325,4329.921992,3816.087132,313.3051272,,,,,,,
188,8040,7639,11687,2758,6839,404,37367,1872.060734,7797.369967,4385.603357,2355.817764,-2598.631544,389.5986828,,,,,,,
195,17023,5139,5230,7888,330,1755,37365,4226.281421,12397.17392,10228.40002,-1746.04758,10093.80152,1536.336004,,,,,,,
149,31812,1433,1651,800,113,1440,37249,11110.97864,14954.07393,13263.2488,7617.079246,4247.869254,1248.005965,,,,,,,
82,10362,9232,11009,737,3537,2342,37219,1952.139883,8322.314924,5921.594377,5915.373202,9741.734926,2374.274718,,,,,,,
421,17063,4847,9053,1031,3415,1784,37193,5126.190572,15717.16872,6301.850327,5918.07616,5180.831773,1738.237116,,,,,,,
376,3136,8630,13586,5641,4666,1426,37085,-1031.132478,12165.03783,2216.695331,-983.1169616,9439.146836,1359.905357,,,,,,,
402,26539,4753,5091,220,10,340,36953,8647.538026,10073.74771,10020.05953,6915.162054,13641.84297,42.26461289,,,,,,,
2,6353,8808,7684,2405,3516,7844,36610,-84.12030688,13481.97237,11665.20851,7258.998324,-1579.824273,8418.879642,,,,,,,
315,1479,14982,11924,662,3891,3508,36446,-2170.455293,-3354.77508,7679.827675,5955.249267,11351.94084,3729.562631,,,,,,,
424,16980,2884,12232,874,3213,249,36432,5190.509609,23435.71196,1018.802487,4869.176808,12681.93698,10.73116858,,,,,,,
112,19046,2770,2469,8853,483,2708,36329,5274.071157,15731.63344,13026.54495,-1892.684921,2279.938722,2612.446348,,,,,,,
380,28257,944,2146,3881,600,270,36098,9723.832764,15127.60996,12084.61911,3083.907236,3375.023618,-12.69721061,,,,,,,
334,16823,928,2743,11559,332,3486,35871,4236.913089,22691.92944,12058.72843,-4741.375527,1591.562027,3421.373944,,,,,,,
48,11519,6152,10868,584,5121,1476,35720,3113.243557,13295.70101,4930.439855,5722.453209,2218.306271,1519.46283,,,,,,,
346,2771,6939,15541,2693,6600,1115,35659,-521.7802733,17117.97142,-432.392168,2069.688323,5001.488905,1137.223185,,,,,,,
324,25977,3587,2464,2369,140,1092,35629,8492.868423,10393.11335,13046.28124,5082.287456,6637.532976,905.1349734,,,,,,,
41,19176,3065,5956,2033,2575,2802,35607,5965.70352,17980.26072,9593.947458,5755.625701,1211.544038,2855.037531,,,,,,,
431,8533,5506,5160,13486,1377,1498,35560,691.6155362,10884.08684,10459.74867,-8925.754717,4881.483458,1312.799961,,,,,,,
418,660,8494,18622,133,6740,776,35425,-1450.025628,16977.60266,-3583.861507,4368.573814,11663.65237,776.5185673,,,,,,,
373,15076,6257,7398,1504,1916,3113,35264,3839.516536,13067.99892,9131.422659,6077.958708,7946.555958,3185.0243,,,,,,,
218,18,7504,15205,1285,4797,6372,35181,-2467.068063,25126.3146,1666.036294,6541.177568,8228.805488,6813.272189,,,,,,,
293,3996,11103,12469,902,5952,741,35163,-173.8785698,1271.236017,4946.578813,4246.324969,4273.160671,799.8865353,,,,,,,
245,3062,6154,13916,230,8933,2784,35079,239.1365548,17041.7205,2433.147828,6147.076659,-9416.307947,3128.434474,,,,,,,
123,11170,10769,8814,2194,1976,143,35066,2086.07641,-1116.877567,8255.325214,3109.23492,14591.49262,-28.73234766,,,,,,,
140,17623,4280,7305,2279,960,2616,35063,4828.278463,18096.37736,8032.191946,5047.477403,11383.41663,2571.899293,,,,,,,
422,26400,1377,4172,830,948,1218,34945,9001.579675,18114.95149,10307.48505,6820.201288,5722.615578,1069.882033,,,,,,,
416,4389,10940,10908,848,6728,993,34806,232.3165121,-1006.379928,7083.623013,4659.11634,-2306.770568,1142.785767,,,,,,,
57,5417,9933,10487,38,7572,1282,34729,952.9590801,574.198374,7498.087676,5909.335767,-7252.255003,1506.530135,,,,,,,
54,27329,1449,1947,2436,204,1333,34698,9229.65979,15456.65078,12928.14235,5285.02954,4339.917278,1177.80655,,,,,,,
381,17770,4591,1617,9927,246,532,34683,4768.928928,6540.209265,14093.59471,-4461.034106,4121.276277,281.9631386,,,,,,,
94,5626,12220,11323,206,5038,244,34657,359.2644657,-3535.009821,6523.772573,4932.423338,7046.337425,251.3827518,,,,,,,
300,16448,6243,6360,824,2662,2005,34542,4766.452094,8950.301847,10260.9054,6422.039855,3826.5188,2049.606566,,,,,,,
156,3830,5291,14855,317,6694,3182,34169,48.78271233,23323.89049,598.7484552,6144.573032,1381.775605,3444.143673,,,,,,,
0,12669,9656,7561,214,2674,1338,34112,3009.925039,909.6927851,10013.05137,6331.984131,8135.161388,1355.17688,,,,,,,
230,11072,5989,5615,8321,955,2137,34089,1825.677949,11120.1768,10484.62561,-2512.094518,8227.583894,2061.472787,,,,,,,
396,4515,11991,9345,2644,3378,2213,34086,-651.1774432,-1083.138703,9116.65827,3322.153853,8274.418031,2329.786936,,,,,,,
70,16705,2037,3202,10643,116,1365,34068,4303.753126,17207.63963,11308.79266,-5030.537589,5877.215858,1147.756239,,,,,,,
354,14039,7393,2548,6386,1333,2341,34040,3264.178604,2422.247502,15105.61808,349.2335645,1487.243984,2373.150706,,,,,,,
10,3366,5403,12974,4400,5977,1744,33864,-301.991756,18870.00788,2201.208011,712.7502375,1416.358582,1835.757251,,,,,,,
371,20105,1887,1939,8164,716,790,33601,6098.096288,13826.17281,12868.14642,-2137.963109,1767.286378,596.3976743,,,,,,,
425,11243,2408,2593,15348,108,1886,33586,1766.553088,16821.17798,12226.3275,-10477.08131,3636.215023,1701.440324,,,,,,,
264,1073,9679,15445,61,5980,1265,33503,-1391.358125,10423.35352,940.5128621,5006.973195,9047.259571,1366.429372,,,,,,,
294,21273,2013,6550,909,811,1854,33410,6661.290201,21475.29146,7862.997422,6478.928685,10633.02376,1767.747053,,,,,,,
232,25962,1780,3838,638,284,834,33336,8729.512255,16516.14859,10695.85127,6761.338437,8544.347242,661.924576,,,,,,,
1,7057,9810,9568,1762,3293,1776,33266,619.3372034,4134.943258,7836.468197,4227.551886,8750.364475,1849.498645,,,,,,,
267,20893,1222,2576,3975,737,3628,33031,6420.832243,20642.85312,12940.23643,4341.411052,1021.594399,3727.532866,,,,,,,
241,24929,1801,2475,2216,412,1047,32880,8300.636824,14785.99287,12452.57459,5125.227133,4956.334402,916.6425605,,,,,,,
190,16936,6250,1981,7332,118,64,32681,4470.026292,1917.903071,14335.4302,-1887.963797,6991.114714,-157.8067915,,,,,,,
434,16731,3922,7994,688,2371,838,32544,5045.880397,15879.749,6902.451984,5715.962838,8361.877818,763.2285967,,,,,,,
81,219,9540,14403,283,7818,156,32419,-1172.567555,5841.348434,2234.298658,4192.045772,12.12608815,287.7250572,,,,,,,
44,9670,7027,10471,541,4618,65,32392,2374.165531,8650.365408,5351.400825,4769.168665,5330.70743,42.28494919,,,,,,,
25,16165,4230,7595,201,4003,57,32251,5271.501413,11749.27331,7644.286983,5873.054176,1439.314067,15.55116837,,,,,,,
328,16933,2209,3389,7849,210,1534,32124,4558.683595,16956.91059,11416.15927,-1747.328317,6349.126074,1403.026371,,,,,,,
20,17546,4519,4602,1066,2259,2124,32116,5348.998252,11264.84171,11772.26732,6407.406737,1481.994974,2216.864131,,,,,,,
404,18073,4613,3444,4324,914,715,32083,5270.820001,8450.151914,12366.55593,1923.104877,5711.176262,597.8734027,,,,,,,
332,22321,3216,1447,2208,178,2602,31972,6998.250865,12318.58264,14826.06767,5934.762344,3312.068182,2649.776938,,,,,,,
180,12356,6036,8887,402,1382,2794,31857,2681.801703,15899.57735,7156.114876,6744.290946,13628.21614,2874.008236,,,,,,,
358,759,18664,1660,6114,536,4100,31833,-3252.294978,-24310.65005,21423.90695,740.7557141,6454.235025,4426.50621,,,,,,,
126,19219,1840,1658,8195,349,483,31744,5721.766903,13385.12914,13093.64807,-2436.284743,3133.601031,287.034607,,,,,,,
159,355,7704,14682,398,8077,303,31519,-947.8507314,11074.56113,1260.212111,4129.074751,-1416.497508,459.94493,,,,,,,
193,180,3485,20292,959,5618,666,31200,-1591.947407,33526.16779,-7875.585355,3056.858383,17810.60674,616.4855537,,,,,,,
420,4456,5266,13227,25,6818,1393,31185,633.295657,17848.05374,2176.411695,5581.800566,-578.4415807,1588.210564,,,,,,,
244,6202,7775,10817,1183,3143,1970,31090,364.0161785,11789.57201,5584.221962,4790.407024,11002.67063,2071.793294,,,,,,,
281,12238,7108,6235,1093,2328,2079,31081,2932.821388,7111.052503,10864.39392,5794.82318,5427.680497,2199.778758,,,,,,,
118,20049,1891,2362,5343,411,933,30989,6161.800482,14695.23768,12547.92862,1091.634601,4401.262709,812.9880113,,,,,,,
170,260,8675,13430,1116,7015,323,30819,-1260.70195,7652.483802,3001.550372,3371.34688,1054.134504,461.2557633,,,,,,,
303,2599,3688,13829,492,10069,59,30736,773.1756677,18012.54335,1018.002305,4194.235558,-13037.59418,287.2879093,,,,,,,
357,37,1275,22272,137,6747,110,30578,-1236.318284,40382.08167,-11142.34284,3515.615255,16470.60773,43.11114643,,,,,,,
166,4822,6721,9170,993,4973,3637,30316,228.0746401,13107.45628,8175.843485,6112.030025,-1793.884963,4018.319795,,,,,,,
189,834,11577,11522,275,4027,1856,30091,-1882.81799,2127.152539,6519.896287,5327.180235,10374.11762,2052.7648,,,,,,,
287,15354,2102,2828,8366,386,1027,30063,4030.111869,15517.79823,12002.53803,-2726.978139,4903.417827,907.8247531,,,,,,,
187,2438,8002,9819,6269,3459,3,29990,-1161.982139,6869.015306,6174.743538,-2399.012652,8612.305124,-59.20982793,,,,,,,
62,7823,6245,6544,4154,4074,964,29804,1504.026903,6988.159022,10053.08853,1322.276076,-1420.75999,1067.488665,,,,,,,
415,7842,6046,8552,1691,3540,1874,29545,1364.011247,12291.42653,7774.221811,4476.604923,4328.018949,2030.798833,,,,,,,
7,7579,4956,9426,1669,3321,2566,29517,1182.482306,17792.80162,6420.940024,4800.857129,5925.729554,2753.764466,,,,,,,
423,17565,3686,4657,1059,1803,668,29438,5482.155814,11585.27031,10886.71066,5493.058957,4566.359557,655.3434577,,,,,,,
74,8190,6343,9794,1285,1901,1780,29293,1096.806044,14666.20181,6002.060026,4724.616019,14055.28725,1837.591654,,,,,,,
234,15603,2703,3833,4260,325,2563,29287,4119.686456,17610.613,11698.52971,2806.652968,6813.21291,2624.977786,,,,,,,
53,491,10473,11532,744,5611,224,29075,-1459.159371,1069.534493,5864.034253,3849.412881,4445.553563,363.2870789,,,,,,,
323,13360,944,11593,915,1679,573,29064,3605.609283,29533.27976,1093.039035,4636.511376,17359.46168,440.1534301,,,,,,,
177,12759,7330,4533,1752,20,2631,29025,2648.130313,6868.851747,12824.26567,5434.910508,11740.04512,2745.678452,,,,,,,
432,21117,1162,4754,269,1328,395,29025,7087.248337,18078.06814,9571.256432,6465.387742,6173.092314,321.640005,,,,,,,
237,18692,3838,593,4634,28,1215,29000,5506.125954,7668.130123,15679.98065,2092.407024,3445.370545,1193.168882,,,,,,,
136,4625,8579,7030,4575,2447,1542,28798,-422.4317737,4176.752543,10294.05523,817.0508269,6955.169527,1648.976363,,,,,,,
296,19087,1304,3643,3045,710,898,28687,5970.593041,17697.8249,10951.29488,3498.793686,5869.360398,839.3558117,,,,,,,
368,22335,1196,2406,2046,101,558,28642,7324.617223,15835.97794,12241.11553,4772.749052,6559.624347,459.3292356,,,,,,,
91,12754,2762,2530,8693,627,1117,28483,2977.824877,13407.02702,12782.07966,-3225.481115,3499.508703,1062.645468,,,,,,,
262,23257,1372,1677,982,429,655,28372,7851.280113,13981.41505,13375.25605,6197.367926,3946.164241,608.096068,,,,,,,
